suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,120,0,0,0,3.26319,1711,14,952.842,471.789,181,613,869,1125,1061,0,0,1842054.00,1842174.00,1842114.00,0.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,94,0,0,1.19106,3.27502,1711,14,917.467,436.6,181,613,869,1125,1061,0,0,1842181.00,1842275.00,1842228.00,127.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,107,0,0,1.19817,3.29821,1711,14,957,467.529,181,613,869,1125,1061,0,0,1842281.00,1842388.00,1842334.50,227.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,80,0,0,6.24124,3.27668,1711,14,694.538,466.154,181,613,869,1125,1061,0,0,1842402.00,1842482.00,1842442.00,348.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,100,0,0,0.594426,3.25932,1711,14,671.75,476.188,181,613,869,1125,1061,0,0,1842489.00,1842589.00,1842539.00,435.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,74,0,0,1.3598,3.21593,1711,14,696.583,424.917,181,613,869,1125,1061,0,0,1842596.00,1842670.00,1842633.00,542.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,81,0,0,0.298038,3.16049,1711,14,705.308,433.846,181,613,869,1125,1061,0,0,1842696.00,1842777.00,1842736.50,642.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,235,0,0,1.36614,3.03207,1711,14,758.5,454.972,181,613,869,1125,1061,0,0,1842783.00,1843018.00,1842900.50,729.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,141,0,0,0.252168,2.92803,1711,14,749.636,449.227,181,613,869,1125,1061,0,0,1843058.00,1843199.00,1843128.50,1004.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,289,0,0,0.494523,2.89259,1711,14,744.159,429.25,181,613,869,1125,1061,0,0,1843205.00,1843494.00,1843349.50,1151.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,114,0,0,5.15342,3.00663,1711,14,950,496.167,181,613,869,1125,1061,0,0,1843500.00,1843614.00,1843557.00,1446.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,74,0,0,1.953,3.01945,1711,14,950.75,414.333,181,613,869,1125,1061,0,0,1843661.00,1843735.00,1843698.00,1607.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,54,0,0,4.0597,2.99659,1711,14,780.667,405.111,181,613,869,1125,1061,0,0,1843755.00,1843809.00,1843782.00,1701.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,148,0,0,1.70228,3.00606,1711,14,800.696,473.565,181,613,869,1125,1061,0,0,1843815.00,1843963.00,1843889.00,1761.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,120,1,0,0,3.41668,1777,19,961.526,494.842,181,613,869,1125,1061,0,0,1842054.00,1842174.00,1842114.00,0.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,53,1,0,1.00855,3.43243,1777,19,923.333,476.778,181,613,869,1125,1061,0,0,1842181.00,1842234.00,1842207.50,127.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,54,1,0,1.08656,3.38813,1777,19,950,439.889,181,613,869,1125,1061,0,0,1842241.00,1842295.00,1842268.00,187.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,87,1,0,1.27724,3.39693,1777,19,947.929,493.357,181,613,869,1125,1061,0,0,1842301.00,1842388.00,1842344.50,247.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,94,1,0,7.19919,3.42223,1777,19,645.733,469.333,181,613,869,1125,1061,0,0,1842415.00,1842509.00,1842462.00,361.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,61,1,0,0.272026,3.40502,1777,19,648,480.5,181,613,869,1125,1061,0,0,1842515.00,1842576.00,1842545.50,461.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,81,1,0,0.406708,3.32793,1777,19,657.538,466.385,181,613,869,1125,1061,0,0,1842609.00,1842690.00,1842649.50,555.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,54,1,0,2.18925,3.22762,1777,19,735,417.222,181,613,869,1125,1061,0,0,1842703.00,1842757.00,1842730.00,649.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,194,1,0,0.738358,3.20371,1777,19,731.333,447.933,181,613,869,1125,1061,0,0,1842764.00,1842958.00,1842861.00,710.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,107,1,0,0.356063,3.05557,1777,19,739.412,460.471,181,613,869,1125,1061,0,0,1842971.00,1843078.00,1843024.50,917.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,67,1,0,0.119298,3.04126,1777,19,735.545,463.636,181,613,869,1125,1061,0,0,1843085.00,1843152.00,1843118.50,1031.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,140,1,0,0.415563,3.04536,1777,19,747.273,450.773,181,613,869,1125,1061,0,0,1843159.00,1843299.00,1843229.00,1105.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,94,1,0,0.189909,3.02519,1777,19,739.333,451.267,181,613,869,1125,1061,0,0,1843306.00,1843400.00,1843353.00,1252.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,88,1,0,0.422493,2.99721,1777,19,733.071,434.714,181,613,869,1125,1061,0,0,1843406.00,1843494.00,1843450.00,1352.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,100,1,0,5.19244,3.02828,1777,19,938.438,508.125,181,613,869,1125,1061,0,0,1843514.00,1843614.00,1843564.00,1460.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,114,1,0,0.984534,3.08661,1777,19,936.167,466.944,181,613,869,1125,1061,0,0,1843621.00,1843735.00,1843678.00,1567.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,61,1,0,4.278,3.13808,1777,19,756.8,474.5,181,613,869,1125,1061,0,0,1843748.00,1843809.00,1843778.50,1694.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,161,1,0,1.17681,3.16682,1777,19,756.84,523.8,181,613,869,1125,1061,0,0,1843815.00,1843976.00,1843895.50,1761.00,28
2019_07_13_16_38_07,0,0,0-test-02-same1,N/A,N/A,47,1,0,8.23916,3.12986,1777,19,1095,603.875,181,613,869,1125,1061,0,0,1843996.00,1844043.00,1844019.50,1942.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,73,0,0,0,3.08111,353,4,1027.25,538,181,613,677,1125,677,0,0,1844961.00,1845034.00,1844997.50,0.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,100,0,0,1.69366,3.03286,353,4,982.563,482.875,181,613,677,1125,677,0,0,1845041.00,1845141.00,1845091.00,80.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,80,0,0,7.28182,3.00987,353,4,744.769,289.231,181,613,677,1125,677,0,0,1845182.00,1845262.00,1845222.00,221.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,100,0,0,0.202885,3.05841,353,4,736.563,291.438,181,613,677,1125,677,0,0,1845269.00,1845369.00,1845319.00,308.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,46,1,0,0,3.14415,341,5,996,575.625,181,613,677,1125,677,0,0,1844961.00,1845007.00,1844984.00,0.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,127,1,0,1.6327,3.17689,341,5,991.75,507.35,181,613,677,1125,677,0,0,1845014.00,1845141.00,1845077.50,53.00,28
2019_07_13_16_38_07,0,1,0-test-02-same1,same,S,61,1,0,7.54538,3.15261,341,5,729.9,327.1,181,613,677,1125,677,0,0,1845188.00,1845249.00,1845218.50,227.00,28
